,song,artist,uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2157,St. Thomas,Sonny Rollins,spotify:track:0zQE77yszbyv61M4NboU2u,0.541,0.607,-8.435,0.0438,0.727,0.442,0.0997,0.754,104.96
2158,Eric B. Is President,Eric B. & Rakim,spotify:track:6NDvawBbLhpuEWJg0jtEtn,0.911,0.625,-9.05,0.365,0.0264,0.0,0.245,0.795,96.631
2159,"The ""Fish"" Cheer / I-Feel-Like-I'm-Fixin'-To-Die-Rag",Country Joe & The Fish,spotify:track:45F8EHWBYjzEYo9yhcpv15,0.337,0.888,-7.42,0.143,0.321,0.0,0.278,0.714,204.875
2160,Lester Leaps In,Count Basie,spotify:track:4kqgK26glFzhnlBtgUzcAG,0.756,0.119,-14.407,0.0716,0.974,0.906,0.123,0.417,124.006
2161,In C - 2009 Remastered,Terry Riley,spotify:track:4IIt36M11AQ5bHdzFQLEny,0.492,0.507,-9.464,0.0434,0.982,0.913,0.164,0.0791,131.792
2162,Crazy Train,Ozzy Osbourne,spotify:track:2b9lp5A6CqSzwOrBfAFhof,0.453,0.905,-4.001,0.115,0.36,0.000569,0.26,0.474,137.571
2163,The Words That Maketh Murder,PJ Harvey,spotify:track:20RcaEPmwIvCPLiSdRNdnd,0.602,0.781,-8.684,0.0449,0.639,0.0,0.148,0.694,158.02
2164,A Certain Romance,Arctic Monkeys,spotify:track:37AyXivrY5G4v2QJFQlWn6,0.455,0.881,-5.587,0.0401,0.000566,6.06e-05,0.11,0.201,137.949
2165,Hungry Heart,Bruce Springsteen,spotify:track:0cb6dNWQ3hfmZjcmDecCMy,0.636,0.768,-12.014,0.0268,0.142,0.00938,0.136,0.97,109.83
2166,Handle With Care - 2007 Remastered,Traveling Wilburys,spotify:track:68SIfpmVoU9yzLEWUEDiLy,0.679,0.783,-5.98,0.0288,0.121,0.0,0.219,0.715,115.086
2167,Is That All There Is - Remastered,Peggy Lee,spotify:track:4avxuFJvJa9dKYizaZVi3m,0.458,0.0899,-18.824,0.0362,0.863,0.0,0.137,0.386,109.574
2168,Peaches - 1996 Remaster,The Stranglers,spotify:track:71Y7sPJm0DpCix0fHaAlhI,0.567,0.576,-9.718,0.0634,0.00887,0.00895,0.0677,0.963,71.306
2169,Reward,The Teardrop Explodes,spotify:track:1utfkudVfRFuWcEURm6Bq9,0.402,0.777,-4.332,0.0324,0.000705,0.00014,0.0841,0.884,159.791
2170,Sucker M.C.'s (Krush-Groove 1),Run–D.M.C.,spotify:track:3hx5R8nOKu5zvhlfDNSIQC,0.919,0.975,-5.636,0.0886,0.0898,0.00253,0.248,0.884,102.982
2171,Your Love is Killing Me,Sharon Van Etten,spotify:track:2S1IUGeYOV3JPSoaheqIo9,0.396,0.714,-6.271,0.0379,0.553,0.372,0.11,0.116,121.122
2172,Fake Tales Of San Francisco,Arctic Monkeys,spotify:track:5vefQfYc9Oxn8VHfgUCi1q,0.454,0.778,-4.225,0.0449,0.00998,0.0,0.0427,0.704,127.158
2173,Harvest Moon,Neil Young,spotify:track:5l9c6bJmzvftumhz4TMPgk,0.648,0.309,-12.432,0.0264,0.526,0.000249,0.124,0.407,112.929
2174,Oh What A Nite,Various Artists,spotify:track:2zwSibwgZKoQvpDtdJ5laL,0.45,0.308,-9.516,0.0295,0.808,6.51e-06,0.674,0.282,72.911
2175,Book Of Love,R&B,spotify:track:6S0iAXvdUFbOulwqNrcCBB,0.456,0.723,-6.637,0.521,0.737,0.0,0.161,0.525,196.633
2176,La bohème,Charles Aznavour,spotify:track:1e9qVfNKLsWJZVjEYAzQyK,0.258,0.269,-11.277,0.0391,0.862,0.0,0.247,0.554,72.682
2177,River,Joni Mitchell,spotify:track:0DAmSYQW9kq9gQNDI002KP,0.405,0.152,-13.901,0.0395,0.979,9.07e-05,0.104,0.383,61.34
2178,Stack O' Lee,Various Artists,spotify:track:59Chs6CY6iojwtmobRVQFg,0.648,0.139,-17.611,0.0376,0.994,0.436,0.11,0.841,108.23
2179,3 O'Clock Blues,B.B. King,spotify:track:1NsSyOfXzjmArdZSXyuxvP,0.392,0.445,-7.517,0.0378,0.943,0.00271,0.185,0.594,71.196
2180,Move Your Body - Club,Various Artists,spotify:track:2cA7ezNsy33h6HKi4dggGh,0.827,0.585,-15.397,0.063,0.0846,7.66e-06,0.174,0.59,122.328
2181,Evil,Interpol,spotify:track:6B182GP3TvEfmgUoIMVUSJ,0.497,0.738,-4.09,0.0396,0.00128,0.653,0.0725,0.599,129.078
2182,Slip Away,Perfume Genius,spotify:track:3Gda1sTo2ZjbztjjsnAsP3,0.603,0.509,-6.824,0.0312,0.371,2.66e-05,0.0627,0.572,136.592
2183,Love Potion No. 9,R&B,spotify:track:584iA8TBEvpG2s7SYZU2Mx,0.736,0.593,-8.038,0.0751,0.523,0.0,0.218,0.85,129.126
2184,It's Only Rock 'n' Roll (But I Like It) - Remastered,The Rolling Stones,spotify:track:4h385lRE0c4zR78GErkmT7,0.615,0.891,-9.251,0.0474,0.388,0.136,0.187,0.817,128.552
2185,Don't Stop - 2004 Remaster,Fleetwood Mac,spotify:track:3CPeWqqaHR0hmyfsWhMJQs,0.672,0.72,-7.781,0.035,0.0373,9.38e-06,0.0371,0.828,118.731
2186,Always on My Mind,Willie Nelson,spotify:track:2xYQTU2bbg6WVAmpY1eae4,0.524,0.261,-13.868,0.0272,0.755,0.00105,0.144,0.201,73.36
2187,Laid,James,spotify:track:4IWrEuvVZbMxIBcXBkZTsO,0.469,0.974,-4.609,0.0373,0.0264,5.5e-05,0.173,0.675,116.036
2188,Blue Monday,Fats Domino,spotify:track:6Cbq1REcxHrGqgp3ltMGci,0.385,0.727,-11.244,0.0351,0.158,0.0,0.0786,0.941,154.07
2189,Breezeblocks,alt-J,spotify:track:33OdSmu4AdBViAXDbCEqK3,0.609,0.642,-7.337,0.0341,0.11,0.000986,0.172,0.296,150.087
2190,Expecting to Fly,Buffalo Springfield,spotify:track:3uVmR6oQq0NluVZXkipKHV,0.161,0.348,-13.283,0.0319,0.795,0.329,0.0971,0.123,150.989
2191,The Future,Leonard Cohen,spotify:track:4VYfF6gwB6HwV2FWSehZcx,0.675,0.588,-11.055,0.0285,0.149,3.75e-05,0.136,0.88,141.837
2192,Young Hearts Spark Fire,Japandroids,spotify:track:2t7gWIFnrAdn7zoP01xBcR,0.207,0.866,-8.857,0.0855,4.6e-05,0.23,0.1,0.19,112.147
2193,I'm a King Bee,Various Artists,spotify:track:0kW4wZ0xAMDOp81m2HirfX,0.74,0.262,-15.178,0.0325,0.963,0.0488,0.113,0.944,112.821
2194,Nightswimming,R.E.M.,spotify:track:2xLSFrm2oBeMtBMjlAoZSC,0.559,0.458,-8.202,0.0301,0.765,2.06e-05,0.0979,0.551,114.204
2195,It's A Long Way To The Top (If You Wanna Rock 'N' Roll),AC/DC,spotify:track:1TrLfr2D5kA6Pm2e40A1Ak,0.449,0.87,-3.537,0.0853,0.124,0.0893,0.0553,0.532,135.796
2196,Strawberry Letter 23,Shuggie Otis,spotify:track:4W8IEREeLldaSQyGXcZQ2I,0.519,0.483,-12.795,0.0277,0.139,0.000218,0.365,0.772,171.028
2197,When The Sun Goes Down,Arctic Monkeys,spotify:track:5npqVYHjQeHFTE9iZBio6Q,0.35,0.874,-4.755,0.186,0.0363,0.0,0.108,0.416,169.512
2198,Oscillations,Silver Apples,spotify:track:10iyrkqHdykjmBG9ZuiQKy,0.492,0.553,-8.6,0.0397,0.406,0.000105,0.163,0.431,125.936
2199,Take It Easy,Eagles,spotify:track:6E0cfEFhqoDkr6s8fbAdEO,0.573,0.767,-8.097,0.032,0.205,0.0,0.0833,0.722,139.117
2200,7 Seconds (feat. Neneh Cherry),Youssou N'Dour,spotify:track:0PrlpSOlCkA1SJlqaSzpou,0.679,0.659,-10.826,0.0269,0.0771,4.12e-06,0.316,0.528,154.171
2201,Parker's Mood,Charlie Parker,spotify:track:76kEWcXw7hZfLt4Mt2lqwR,0.614,0.182,-10.404,0.0531,0.929,0.00491,0.0898,0.638,78.089
2202,I Can't Give Everything Away,David Bowie,spotify:track:42bQZnfDGmejgB5elWY3QA,0.497,0.93,-7.024,0.0652,0.109,0.0756,0.327,0.403,120.007
2203,Novacane,Frank Ocean,spotify:track:5zrZHMklhOXABpnBl0EMBN,0.763,0.516,-9.267,0.115,0.0542,0.000689,0.162,0.363,93.5
2204,Believe,Cher,spotify:track:43rNJ0jpFNSQU4XwoFmxOx,0.653,0.933,-6.041,0.0522,0.00754,0.0,0.0574,0.429,132.965
2205,Gee,Various Artists,spotify:track:3uZrDBoHKSvw9O52zfKiWQ,0.59,0.46,-5.058,0.039,0.898,0.0,0.176,0.787,81.344
2206,Nothing Else Matters,Metallica,spotify:track:3ZFwuJwUpIl0GeXsvF1ELf,0.558,0.364,-11.258,0.0265,0.0505,5.02e-06,0.0753,0.17,142.171
2207,Icky Thump,The White Stripes,spotify:track:0DaM3PnFPbXsvahjbQWN3i,0.425,0.62,-7.821,0.0864,0.0214,0.0112,0.074,0.332,94.996
2208,Cherry Bomb,The Runaways,spotify:track:2moVYeVUZ6pz04l9QYYaqw,0.501,0.813,-8.192,0.0639,0.0455,4.75e-05,0.131,0.495,136.59
2209,Alone Again (Naturally),Gilbert O'Sullivan,spotify:track:0s9r5xD7C1M57ItFn9STIN,0.557,0.527,-6.216,0.034,0.632,0.000194,0.149,0.595,171.836
2210,Sacrilege,Yeah Yeah Yeahs,spotify:track:2pQZ9g4vaFNXO42kMe8e3w,0.527,0.947,-3.491,0.0548,0.161,0.00217,0.591,0.506,119.976
2211,Cocaine,J.J. Cale,spotify:track:0LwpCFwKgt44TOlV0vU7Yh,0.798,0.403,-14.29,0.0441,0.383,0.36,0.114,0.584,103.681
2212,Rio - 2009 Remaster,Duran Duran,spotify:track:43eBgYRTmu5BJnCJDBU5Hb,0.544,0.873,-7.425,0.0525,0.0415,1.82e-05,0.0925,0.676,140.902
2213,Ring My Bell,Anita Ward,spotify:track:7GK2KVYH8FrTC9zehmjVMd,0.781,0.556,-13.067,0.0611,0.0661,0.0907,0.0339,0.968,125.999
2214,Sunday Candy,Donnie Trumpet & The Social Experiment,spotify:track:6fTdcGsjxlAD9PSkoPaLMX,0.511,0.596,-6.56,0.224,0.53,0.0,0.0798,0.554,158.063
2215,Ain't No Stoppin' Us Now,McFadden & Whitehead,spotify:track:4Ymk3pqpkGx19gyxxUj5LK,0.678,0.688,-7.83,0.0544,0.0611,0.0,0.0671,0.887,114.098
2216,Love Child - Album Version (Stereo),Diana Ross,spotify:track:171bDDZDYbP5Wgi3xfbAFc,0.582,0.56,-13.995,0.0301,0.216,0.000115,0.349,0.636,103.996
2217,The Look Of Love,Dusty Springfield,spotify:track:3iWtpZKbZb5N2jlbGMmNjD,0.582,0.407,-9.445,0.0273,0.556,6.56e-05,0.133,0.326,95.444
2218,Senses Working Overtime - Remastered,XTC,spotify:track:0XDv7SLyMkGcAnb12fMHa1,0.68,0.665,-11.886,0.0355,0.0289,0.0289,0.659,0.862,129.899
2219,A Minha Menina,Os Mutantes,spotify:track:0lGEWOZvMexZFXckBJxlVO,0.463,0.926,-3.204,0.122,0.0555,0.0,0.478,0.437,91.197
2220,The Choice Is Yours (Revisited),Black Sheep,spotify:track:0cbodmgjBx4IVPOIyl3F4b,0.867,0.679,-12.028,0.207,0.0336,1.59e-06,0.0742,0.68,101.293
2221,We Need a Resolution,Aaliyah,spotify:track:6atXVmQLlEOnYDqBHlzYV2,0.726,0.517,-9.47,0.283,0.312,0.0,0.2,0.843,147.255
2222,Lost in Music - 1995 Remaster,Sister Sledge,spotify:track:47eSFHsPDVJwssTTG62Af3,0.758,0.841,-7.509,0.0319,0.0544,0.000153,0.103,0.849,114.487
2223,The Middle,Jimmy Eat World,spotify:track:5kD9T7GForh8LnRz5ClbL8,0.634,0.886,-3.466,0.0517,0.0291,0.0,0.342,0.922,161.933
2224,Supermassive Black Hole,Muse,spotify:track:3lPr8ghNDBLc2uZovNyLs9,0.668,0.921,-3.727,0.0439,0.0492,0.00517,0.0877,0.782,120.0
2225,Emmylou,First Aid Kit,spotify:track:7gAtGDZN8iOYyJ3tN1iH9h,0.512,0.612,-5.831,0.0293,0.469,0.000144,0.1,0.371,88.271
2226,Alex Chilton,The Replacements,spotify:track:0xUzr3YfnBzdZa21UNDojX,0.449,0.786,-13.618,0.0409,0.00513,5.46e-05,0.341,0.781,165.532
2227,Witness (1 Hope),Roots Manuva,spotify:track:5KLcIahbdBJeZ8tHAyYMpN,0.74,0.866,-3.597,0.295,0.00128,4.32e-06,0.125,0.814,91.887
2228,You Don't Know My Name,Alicia Keys,spotify:track:6LGwYMXXgURfaequXipzHx,0.264,0.663,-8.264,0.187,0.59,0.00443,0.342,0.249,167.078
2229,Femme Fatale,The Velvet Underground,spotify:track:1f4KIW9DGGZhCqSlLkD6Rv,0.35,0.153,-13.775,0.0388,0.885,0.0,0.127,0.158,208.091
2230,Back for Good - Radio Mix,Take That,spotify:track:24fQpRwKFkC3Fe8QtvvrNw,0.601,0.504,-9.761,0.0284,0.31,0.0,0.137,0.564,78.986
2231,I Wish,Stevie Wonder,spotify:track:2dCDC6FXz80njhDidJVkAx,0.828,0.746,-9.615,0.0595,0.116,6.04e-05,0.0594,0.921,105.9
2232,It's My Life - 1997 Remaster,Talk Talk,spotify:track:4jhsuQCUCJKA5f0bXb6XdJ,0.627,0.802,-8.432,0.0348,0.197,0.784,0.404,0.867,126.283
2233,Do You Know the Way to San Jose,Dionne Warwick,spotify:track:0p33monyxACGErYwb7Q3Nc,0.635,0.638,-7.885,0.0582,0.76,8.83e-05,0.0881,0.892,158.936
2234,"Et moi, et moi, et moi",Jacques Dutronc,spotify:track:4ZQW8CvHE5adKbmMrJpzqM,0.724,0.583,-8.072,0.0399,0.0906,0.0,0.216,0.941,168.394
2235,Drunk II,Mannequin Pussy,spotify:track:4j1OTpSF5ejqYPKwqHvlzM,0.473,0.958,-3.67,0.0372,4.11e-05,0.425,0.0793,0.47,136.022
2236,Who Am I (What's My Name)?,Snoop Dogg,spotify:track:5XhkV07Vou38wnrzwURUOC,0.692,0.833,-3.974,0.0492,0.000136,1.98e-05,0.515,0.692,96.814
2237,Things Have Changed - Single Version,Various Artists,spotify:track:3UEWtvTL3mE797dNOv8Rzw,0.71,0.901,-7.317,0.0342,0.135,0.0022,0.218,0.913,126.602
2238,In Every Dream Home A Heartache,Roxy Music,spotify:track:1K12evb2lKWBDmdBrqiOEW,0.212,0.504,-11.502,0.0552,0.257,7.56e-05,0.21,0.412,87.509
2239,Shake It Out,Florence + The Machine,spotify:track:4iuVwVT6KAjIaFX7rnDsGe,0.516,0.793,-4.226,0.0385,0.0111,0.0,0.105,0.201,107.493
2240,Alphabet St.,Prince,spotify:track:5IWlml6ny25ggdP4uH6xLP,0.825,0.97,-5.866,0.0675,0.312,0.246,0.105,0.628,104.358
2241,Dead Flowers,The Rolling Stones,spotify:track:2Igo92MNNhu1sfQAOIetV3,0.559,0.766,-7.78,0.0284,0.138,0.000107,0.201,0.948,130.396
2242,Pretend We're Dead,L7,spotify:track:3z5ggGtcs4t8pizW521gW9,0.569,0.789,-8.559,0.0309,5.62e-06,0.642,0.0811,0.911,115.152
2243,Cut To The Feeling,Carly Rae Jepsen,spotify:track:6EJiVf7U0p1BBfs0qqeb1f,0.71,0.909,-2.777,0.0639,0.0135,0.00123,0.303,0.648,115.001
2244,So. Central Rain,R.E.M.,spotify:track:2nwkpjha37CQ7jmqXWaSBH,0.488,0.83,-8.036,0.0289,0.00161,0.00253,0.128,0.73,145.884
2245,Desafinado,Stan Getz,spotify:track:4P3b8LpWgQg1sFSbsWxjUE,0.588,0.356,-17.877,0.0807,0.708,0.0972,0.122,0.763,87.167
2246,Lazy Line Painter Jane,Belle and Sebastian,spotify:track:0dgAsKrq63WrtPjReh3jNk,0.34,0.74,-5.664,0.0614,0.112,9.56e-06,0.303,0.256,125.47
2247,Insane in the Brain,Cypress Hill,spotify:track:1oTHteQbmJw15rPxPVXUTv,0.897,0.611,-10.489,0.211,0.0291,0.186,0.0894,0.769,102.304
2248,Rise,Public Image Ltd.,spotify:track:6u91CCTziobh3twCDMBlEk,0.526,0.873,-5.28,0.0754,0.00795,7.36e-06,0.339,0.629,86.313
2249,Down Under,Men At Work,spotify:track:3ZZq9396zv8pcn5GYVhxUi,0.739,0.459,-14.42,0.0294,0.129,0.0194,0.0474,0.892,107.115
2250,Ramble On - Remaster,Led Zeppelin,spotify:track:4WTk7vle9ubGFvRUkaGUBd,0.456,0.549,-13.111,0.0343,0.186,0.00227,0.0877,0.834,98.583
2251,Yoo Doo Right,CAN,spotify:track:09pXpOU8C2Yz5t3fvowqsU,0.46,0.698,-9.757,0.0705,0.0273,0.162,0.135,0.384,167.589
2252,"Crossroads - Live At Winterland, San Francisco / 1968",Cream,spotify:track:36xZr5VTIBoFSblxHEE4TJ,0.393,0.697,-12.808,0.0558,0.389,0.0195,0.865,0.851,131.625
2253,Stay,Various Artists,spotify:track:6xi2kRGOrdLJNo4wFyaCis,0.56,0.41,-13.739,0.0626,0.838,0.0,0.21,0.743,120.51
2254,Woodstock,"Crosby, Stills, Nash & Young",spotify:track:2iqKVzMZpyUVPwxIVaQkhm,0.458,0.539,-12.403,0.057,0.122,0.00946,0.17,0.56,118.95
2255,Suburbia - 2001 Remaster,Pet Shop Boys,spotify:track:4ETtqOYhgPo9fKKOSQK4vY,0.653,0.94,-4.981,0.0492,0.115,0.00567,0.504,0.926,123.947
2256,U Don't Know Me,Various Artists,spotify:track:4xKSVV3RjBs9vPyrHpuslU,0.783,0.678,-7.718,0.0725,0.0274,0.0366,0.0671,0.777,129.955
2257,Paradise by the Dashboard Light,Meat Loaf,spotify:track:01kXWVRS4IGrbaBvcymcHM,0.327,0.878,-7.595,0.122,0.225,0.0,0.46,0.516,173.587
2258,Up Around The Bend,Creedence Clearwater Revival,spotify:track:5N8Uh49f1evBiBEzwHcmRW,0.583,0.85,-6.043,0.0344,0.065,0.63,0.305,0.842,130.271
2259,"Take Me Home, Country Roads - Original Version",John Denver,spotify:track:0eZcFq1zvOh6buqrL4VBhP,0.456,0.378,-10.218,0.0264,0.744,0.0,0.13,0.648,81.844
2260,This Old Heart Of Mine (Is Weak For You) - Single Version / Mono,The Isley Brothers,spotify:track:1OCbJ8T0sffsadN6q6nBT9,0.599,0.595,-9.146,0.0316,0.331,0.0,0.194,0.895,130.448
2261,Shake It Off,Taylor Swift,spotify:track:5WfhXulggG0c6WoVeMPA8N,0.648,0.785,-5.414,0.165,0.0561,0.0,0.148,0.943,160.02
2262,Key to the Highway,Various Artists,spotify:track:7gHCD0ZetRZfJ4DWgZ9XL5,0.583,0.259,-12.401,0.0644,0.868,0.276,0.0922,0.645,101.831
2263,You! Me! Dancing!,Los Campesinos!,spotify:track:7grnYLqVYwLvr7uPhIav0O,0.419,0.945,-3.908,0.0846,0.0305,0.000663,0.103,0.342,165.112
2264,Since I Don't Have You,The Skyliners,spotify:track:6JGxHwmFfwXJw5Qrxg6bpn,0.212,0.334,-12.196,0.0308,0.717,0.0056,0.0936,0.638,141.071
2265,"New York, New York",Ryan Adams,spotify:track:70fgBn0MXm4YaYf6tXZvQR,0.551,0.804,-8.249,0.0342,0.0556,9.11e-05,0.168,0.386,106.172
2266,Cloudbusting,Kate Bush,spotify:track:5atQ2haKP5LT65WM0KUts3,0.68,0.248,-17.465,0.0328,0.696,8.88e-06,0.0839,0.812,112.806
2267,Hallowed Be Thy Name - 1998 Remastered Version,Iron Maiden,spotify:track:1iGXvUsVVkYBas0Cniw6NB,0.304,0.909,-5.162,0.0362,0.00185,0.122,0.362,0.348,103.99
2268,Struttin' with Some Barbecue - 78 rpm Version,Louis Armstrong,spotify:track:0cylmIi6YDuqssX8LzqQz5,0.732,0.327,-7.941,0.125,0.932,0.863,0.0481,0.885,95.97
2269,Are You Gonna Go My Way,Lenny Kravitz,spotify:track:45Ia1U4KtIjAPPU7Wv1Sea,0.619,0.67,-10.322,0.0353,0.00165,0.0109,0.331,0.777,129.269
2270,Try Me,James Brown,spotify:track:7qBRiIX0qPmbBY3AU0Nrzi,0.688,0.323,-10.019,0.0285,0.919,0.0,0.813,0.633,101.986
2271,What A Diff'rence A Day Made,Dinah Washington,spotify:track:2AwOR6uXiSH1vHDbz5vVGi,0.45,0.127,-18.061,0.0305,0.922,0.000246,0.115,0.225,93.521
2272,I Want You,Marvin Gaye,spotify:track:52xaJc4wvVDV4KJMEnerF1,0.515,0.793,-9.557,0.034,0.849,0.317,0.236,0.737,100.551
2273,Wildest Moments,Jessie Ware,spotify:track:2mpud9StPzKS4eRdPxs4lp,0.564,0.769,-6.772,0.0485,0.243,0.132,0.477,0.474,83.023
2274,Poison Arrow,ABC,spotify:track:46EfOYq59bLsA8KU3UauRK,0.728,0.879,-5.861,0.0933,0.217,0.013,0.0984,0.764,125.853
2275,Sweet Thing - 1999 Remaster,Van Morrison,spotify:track:4dBI72rgkmG0gTzswyBTzz,0.518,0.385,-14.636,0.0339,0.23,0.000226,0.124,0.712,86.604
2276,Chega De Saudade (No More Blues),João Gilberto,spotify:track:2LNlzGYjb8qyHethPuZC23,0.51,0.236,-16.021,0.034,0.739,0.0,0.182,0.637,87.814
2277,Girlfriend in a Coma - 2011 Remaster,The Smiths,spotify:track:01q4ccXbvPlCwZ1fPiFaeM,0.68,0.626,-8.519,0.0255,0.126,1.3e-06,0.0995,0.96,104.333
2278,Chase The Devil,Max Romeo & The Upsetters,spotify:track:2kPQbvKYxJV2z5q2wNps7n,0.838,0.34,-14.334,0.565,0.0807,0.0,0.105,0.836,149.079
2279,Walking On The Moon - Remastered 2003,The Police,spotify:track:4Xgr8IWwGSGyqLjwiwOxqk,0.514,0.34,-12.779,0.0537,0.00142,0.0173,0.213,0.269,145.992
2280,Speedoo,Various Artists,spotify:track:7vUzRjokJu0HTFASRGz6yG,0.574,0.473,-8.891,0.0453,0.955,0.00237,0.117,0.961,125.592
2281,Seven and Seven Is,Love,spotify:track:6LbOC2J8ojSTwE6qIS4Eyh,0.453,0.788,-9.23,0.0341,0.00438,0.000121,0.131,0.55,78.504
2282,I Am Trying to Break Your Heart,Wilco,spotify:track:3HWxpLKnTlz6jE3Vi5dTF2,0.467,0.536,-10.906,0.0268,0.317,0.0119,0.123,0.429,85.958
2283,It Was A Very Good Year - Remastered ) [The Frank Sinatra Collection],Frank Sinatra,spotify:track:1jWVAVUjhZQvb39mwSQh4E,0.181,0.241,-11.626,0.0309,0.9,2.21e-06,0.0808,0.127,84.693
2284,Love Is A Battlefield - Remastered,Pat Benatar,spotify:track:4cBjhKOEXr66AlBtyyPrPe,0.679,0.875,-4.25,0.0556,0.0408,0.000189,0.0801,0.863,90.71
2285,It's Real,Real Estate,spotify:track:5mt3HpjZuJNpqg1k415CnR,0.419,0.856,-5.443,0.0298,0.00928,0.0964,0.124,0.721,152.009
2286,What Have You Done For Me Lately,Janet Jackson,spotify:track:7AMiYpjoofNamiXsAG6mDi,0.841,0.376,-13.322,0.0686,0.0151,0.0127,0.0579,0.823,114.039
2287,"Hello, I Love You",The Doors,spotify:track:3bWGaqVeYKMlLss40mPgNn,0.597,0.554,-14.144,0.0425,0.029,0.0,0.0766,0.963,117.835
2288,The Blacker The Berry,Kendrick Lamar,spotify:track:5Mtt6tZSZA9cXTHGSGpyh0,0.553,0.852,-4.08,0.305,0.00713,0.0,0.463,0.27,176.058
2289,"Swing Low, Sweet Chariot",The Fisk Jubilee Singers,spotify:track:4xXWDdneZGJamZGI0Fnbh5,0.354,0.39,-20.172,0.169,0.994,0.813,0.16,0.0848,77.906
2290,Rockaway Beach - Remastered Version,Ramones,spotify:track:2Zu4uY37o23mLJDQ1hIG5O,0.461,0.862,-5.488,0.0465,0.000927,3.58e-05,0.151,0.876,187.048
2291,I Just Don't Know What To Do With Myself,Dusty Springfield,spotify:track:5jviavQYnm2f4rcq1F3yp2,0.331,0.817,-6.192,0.0835,0.361,0.0,0.118,0.336,95.744
2292,Livery Stable Blues,Original Dixieland Jazz Band,spotify:track:3QEzHrVUsYs5ijbYcFi3oH,0.382,0.492,-12.177,0.0373,0.995,0.902,0.0729,0.68,164.309
2293,It Don't Mean A Thing (If It Ain't Got That Swing),Duke Ellington,spotify:track:32cnXazoL6noR0KAZBOESX,0.864,0.449,-12.115,0.215,0.943,2.11e-05,0.114,0.61,107.533
2294,It's The Same Old Song,Four Tops,spotify:track:4qigk1yCTKFfuF0PmDcQkI,0.702,0.809,-4.778,0.029,0.131,0.0,0.144,0.976,125.244
2295,Born Under Punches (The Heat Goes On) - 2005 Remaster,Talking Heads,spotify:track:4eBCTzBsSjYgrLH5clQf2x,0.734,0.859,-7.237,0.0922,0.215,0.343,0.0823,0.908,112.941
2296,History Lesson Part 2,Minutemen,spotify:track:45fq6kIQtooot7WVRsXAum,0.683,0.241,-16.192,0.0475,0.348,0.522,0.085,0.727,121.213
2297,Philadelphia Freedom,Elton John,spotify:track:2zNxMRGwRkYHgFJb0Vzcn0,0.705,0.647,-8.532,0.0285,0.0714,1.57e-05,0.0972,0.826,125.243
2298,Run to the Hills - 1998 Remastered Version,Iron Maiden,spotify:track:2JS1iE5A5RHvUPH5Zl9jlF,0.221,0.956,-4.641,0.0876,0.0103,0.000523,0.195,0.432,173.254
2299,Jesus Built My Hotrod,Ministry,spotify:track:0BX3ysoHJvxmLEhPMAfb2z,0.541,0.91,-5.114,0.0529,4.33e-06,0.597,0.79,0.397,125.076
2300,Rock n Roll N****r,Patti Smith,spotify:track:5xMVWUAUQOLlA8Wza3ZSkY,0.41,0.804,-8.478,0.0454,0.00635,3.85e-06,0.207,0.634,152.205
2301,Daydreaming,Radiohead,spotify:track:1uRxyAup7OYrlh2SHJb80N,0.299,0.263,-13.207,0.0323,0.968,0.857,0.126,0.113,137.848
2302,Peso,A$AP Rocky,spotify:track:5sl2735QKaOmL8UL4Q39Ut,0.527,0.831,-6.876,0.27,0.167,0.0,0.0861,0.584,140.017
2303,Mother - Remastered 2010,John Lennon,spotify:track:43Ud1IajwtBvw6ONj6aK2Q,0.532,0.347,-13.696,0.05,0.013,0.133,0.0578,0.426,135.935
2304,Shapes Of Things,The Yardbirds,spotify:track:3xYMN0fbQkyJfofjsufO7b,0.432,0.823,-9.216,0.116,0.249,0.00639,0.0953,0.38,132.212
2305,Check the Rhime,A Tribe Called Quest,spotify:track:4HfxDJ0uLHTLe0fZrx0MbQ,0.881,0.361,-14.728,0.237,0.0502,0.00458,0.246,0.799,96.43
2306,Vincent,Don McLean,spotify:track:0VNzEY1G4GLqcNx5qaaTl6,0.419,0.085,-19.387,0.0362,0.908,5.33e-06,0.34,0.458,91.509
2307,Mustt Mustt,Nusrat Fateh Ali Khan,spotify:track:650Dtu5agocDjFurWlG8N6,0.562,0.358,-18.275,0.137,0.676,0.000726,0.109,0.827,79.107
2308,Stoned and Starving,Parquet Courts,spotify:track:39qdXSbpbOnjkIBwPmmACO,0.237,0.89,-7.445,0.0599,0.268,0.843,0.122,0.306,169.792
2309,Express Yourself,Madonna,spotify:track:6ioBgySxoeQKALvAeLEmId,0.667,0.93,-4.585,0.0608,0.0108,0.0,0.176,0.893,115.57
2310,One Way Or Another - Remastered,Blondie,spotify:track:4cQJ27R11K634x5qCOwKW5,0.45,0.914,-5.4,0.0607,0.0305,1.42e-05,0.152,0.904,162.487
2311,Make It Easy On Yourself,The Walker Brothers,spotify:track:4NhFqirjszwBSFdOG7swnf,0.363,0.536,-9.003,0.0368,0.696,0.00179,0.0927,0.347,81.537
2312,Without Me,Eminem,spotify:track:06wOQGz4bGB7HETrIjpIep,0.915,0.656,-2.827,0.0716,0.00299,0.0,0.324,0.642,112.243
